Date,High,Low,Open,Close,Volume,Adj Close
2010-01-04,34.13759994506836,33.37314987182617,33.47666931152344,34.113712310791016,2110600.0,33.25838851928711
2010-01-05,34.17741775512695,33.81111526489258,34.06593322753906,34.13759994506836,2699500.0,33.281681060791016
2010-01-06,34.503902435302734,33.8907470703125,34.026119232177734,34.002227783203125,3825700.0,33.14970016479492
2010-01-07,34.272972106933594,33.675743103027344,33.97834014892578,33.97037887573242,3150100.0,33.11865234375
2010-01-08,34.989646911621094,33.882781982421875,34.145565032958984,34.89409255981445,4004100.0,34.01919937133789
2010-01-11,34.97372055053711,33.8190803527832,34.9179801940918,33.83500671386719,3842200.0,32.986671447753906
2010-01-12,33.73148727416992,32.99092102050781,33.65981674194336,33.44481658935547,3498100.0,32.60626220703125
2010-01-13,34.19334411621094,33.54037094116211,33.9624137878418,33.83500671386719,4071600.0,32.986671447753906
2010-01-14,34.384456634521484,33.627967834472656,33.755374908447266,34.2968635559082,2271100.0,33.436946868896484
2010-01-15,34.64723587036133,33.80315399169922,34.32871627807617,34.41630935668945,3740600.0,33.55339813232422
2010-01-19,35.03742599487305,34.18537902832031,34.28889846801758,34.97372055053711,2524700.0,34.09683609008789
2010-01-20,34.45612335205078,33.317405700683594,34.41630935668945,34.16945266723633,2928600.0,33.3127326965332
2010-01-21,35.04539108276367,33.755374908447266,34.16945266723633,34.08982467651367,3285900.0,33.23509979248047
2010-01-22,34.06593322753906,32.96703338623047,33.95445251464844,32.96703338623047,4394700.0,32.140464782714844
2010-01-25,33.20592498779297,32.60869598388672,33.20592498779297,32.7679557800293,3296400.0,31.94637107849121
2010-01-26,34.233158111572266,33.189998626708984,33.874820709228516,33.508522033691406,7996100.0,32.66837692260742
2010-01-27,33.64389419555664,32.87944030761719,33.436851501464844,33.428890228271484,5347400.0,32.590736389160156
2010-01-28,35.02149963378906,32.234432220458984,32.234432220458984,34.01019287109375,8863800.0,33.157470703125
2010-01-29,33.747413635253906,32.66443634033203,33.70759582519531,33.08647918701172,7874800.0,32.25691604614258
2010-02-01,33.7235221862793,33.158145904541016,33.22981262207031,33.69166946411133,5646000.0,32.8469352722168
